# schema_version=1
# Columns: oracle_bus, golden_path, golden_expression, scala_field, high, low, provenance, source_commit.
# Golden concat order is MSB to LSB. Python verifies expressions/ranges directly against the locked source.
fetch	rtl/if_stage.v	btb_ret_pc_t	btbTarget	108	77	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
fetch	rtl/if_stage.v	btb_index_t	btbIndex	76	72	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
fetch	rtl/if_stage.v	btb_taken_t	btbTaken	71	71	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
fetch	rtl/if_stage.v	btb_en_t	btbEnabled	70	70	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
fetch	rtl/if_stage.v	icache_miss	instructionCacheMiss	69	69	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
fetch	rtl/if_stage.v	excp	hasException	68	68	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
fetch	rtl/if_stage.v	excp_num	exceptionCode	67	64	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
fetch	rtl/if_stage.v	fs_inst	instruction	63	32	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
fetch	rtl/if_stage.v	fs_pc	pc	31	0	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
decode_lacc_prefix	rtl/id_stage.v	ds_inst[22+:`LACC_OP_WIDTH]	laccCommand	352	351	locked_upstream_macro	f89c604845d8092d0efe1cc700ccedee748d7a0b
decode_lacc_prefix	rtl/id_stage.v	lacc_req	laccRequest	350	350	locked_upstream_macro	f89c604845d8092d0efe1cc700ccedee748d7a0b
decode_base	rtl/id_stage.v	inst_csr_rstat_en	csrRstatEvent	349	349	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
decode_base	rtl/id_stage.v	inst_st_en	storeEvent	348	341	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
decode_base	rtl/id_stage.v	inst_ld_en	loadEvent	340	333	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
decode_base	rtl/id_stage.v	(inst_rdcntvl_w|inst_rdcntvh_w|inst_rdcntid_w)	isCounterInstruction	332	332	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
decode_base	rtl/id_stage.v	timer_64	timer	331	268	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
decode_base	rtl/id_stage.v	ds_inst	instruction	267	236	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
decode_base	rtl/id_stage.v	inst_idle	idle	235	235	golden_comment	a158aa8ab4d49cece1a0fe488d7ac7dc02bd8cf6
